,0,1
49,Ash-throated Flycatcher,"[{'images': ['https://images.unsplash.com/photo-1666466888770-7ff0b6ad1a7e'], 'lengthMin': '19', 'lengthMax': '21', 'name': 'Ash-throated Flycatcher', 'wingspanMin': '30', 'id': 369, 'wingspanMax': '32', 'sciName': 'Myiarchus cinerascens', 'region': ['North America'], 'family': 'Tyrannidae', 'order': 'Passeriformes', 'status': 'Low Concern', 'recordings': [{'date': '2015-04-28', 'loc': 'Butcher Jones Rec Site, Lake Saguaro, Maricopa County, Arizona', 'birdId': 369, 'lic': '//creativecommons.org/licenses/by-nc-sa/4.0/', 'type': 'call', 'rec': 'David Vander Pluym', 'rmk': 'High pass filter ran and amplified. Mesquite Bosque/picnic area. The Great-tailed Grackles calling were clipped from this recording and uploaded as XC284030', 'ssp': '', 'gen': 'Myiarchus', 'file': 'https://xeno-canto.org/284029/download', 'uploaded': '2015-10-06', 'playback-used': 'no', 'id': '284029', 'sp': 'cinerascens', 'lat': '33.5747', 'lng': '-111.5153', 'bird-seen': 'yes', 'alt': '460', 'cnt': 'United States', 'length': '0:28', 'sono': {'small': '//xeno-canto.org/sounds/uploaded/IBYEFBUOWZ/ffts/XC284029-small.png', 'large': '//xeno-canto.org/sounds/uploaded/IBYEFBUOWZ/ffts/XC284029-large.png', 'med': '//xeno-canto.org/sounds/uploaded/IBYEFBUOWZ/ffts/XC284029-med.png', 'full': '//xeno-canto.org/sounds/uploaded/IBYEFBUOWZ/ffts/XC284029-full.png'}, 'en': 'Ash-throated Flycatcher', 'also': ['Quiscalus mexicanus', 'Auriparus flaviceps', 'Zenaida macroura'], 'url': '//xeno-canto.org/284029', 'q': 'no score', 'time': '10:40', 'file-name': 'XC284029-ATFL_DVP_ButcherJonesMAR_150428_11.mp3'}, {'date': '2013-07-14', 'loc': 'Water Canyon, Socorro County, New Mexico', 'birdId': 369, 'lic': '//creativecommons.org/licenses/by-nc-sa/4.0/', 'type': 'call', 'ssp': 'cinerascens', 'gen': 'Myiarchus', 'rec': 'Lauren Harter', 'rmk': 'Just outside Water Canyon Campground, in fairly open juniper scrub habitat. Shortened intervals.', 'file': 'https://xeno-canto.org/302536/download', 'playback-used': 'no', 'uploaded': '2016-02-07', 'id': '302536', 'sp': 'cinerascens', 'lat': '34.0242', 'lng': '-107.1338', 'bird-seen': 'unknown', 'alt': '2100', 'sono': {'small': '//xeno-canto.org/sounds/uploaded/YQNGFTBRRT/ffts/XC302536-small.png', 'large': '//xeno-canto.org/sounds/uploaded/YQNGFTBRRT/ffts/XC302536-large.png', 'med': '//xeno-canto.org/sounds/uploaded/YQNGFTBRRT/ffts/XC302536-med.png', 'full': '//xeno-canto.org/sounds/uploaded/YQNGFTBRRT/ffts/XC302536-full.png'}, 'length': '0:12', 'cnt': 'United States', 'en': 'Ash-throated Flycatcher', 'also': ['Spizella passerina', 'Piranga hepatica'], 'url': '//xeno-canto.org/302536', 'q': 'no score', 'time': '6:00', 'file-name': 'XC302536-ATFL_WaterCanyon_14Jul2013_Harter_1.mp3'}, {'date': '2018-06-09', 'loc': 'Geneva, Jefferson County, Oregon', 'birdId': 369, 'lic': '//creativecommons.org/licenses/by-nc-sa/4.0/', 'type': 'call', 'ssp': '', 'gen': 'Myiarchus', 'rec': 'Thomas Magarian', 'rmk': 'Recording amplified. High pass filter. Noise reduced.', 'file': 'https://xeno-canto.org/425872/download', 'playback-used': 'no', 'uploaded': '2018-07-18', 'id': '425872', 'sp': 'cinerascens', 'lat': '44.4707', 'lng': '-121.3932', 'bird-seen': 'yes', 'length': '0:22', 'sono': {'small': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC425872-small.png', 'large': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC425872-large.png', 'med': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC425872-med.png', 'full': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC425872-full.png'}, 'alt': '850', 'cnt': 'United States', 'en': 'Ash-throated Flycatcher', 'also': ['Pipilo maculatus'], 'url': '//xeno-canto.org/425872', 'q': 'no score', 'time': '10:29', 'file-name': 'XC425872-ATFL_SPTO_2018-06-09_Geneva_OR_1029(2).mp3'}, {'date': '2018-06-09', 'loc': 'Geneva, Jefferson County, Oregon', 'birdId': 369, 'lic': '//creativecommons.org/licenses/by-nc-sa/4.0/', 'type': 'call', 'rec': 'Thomas Magarian', 'ssp': '', 'gen': 'Myiarchus', 'rmk': 'Recording amplified. High pass filter. Noise reduced.', 'file': 'https://xeno-canto.org/425873/download', 'uploaded': '2018-07-18', 'playback-used': 'no', 'id': '425873', 'sp': 'cinerascens', 'lat': '44.4707', 'lng': '-121.3932', 'bird-seen': 'yes', 'cnt': 'United States', 'alt': '850', 'length': '0:10', 'sono': {'small': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC425873-small.png', 'large': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC425873-large.png', 'med': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC425873-med.png', 'full': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC425873-full.png'}, 'en': 'Ash-throated Flycatcher', 'also': ['Pipilo maculatus', 'Haemorhous cassinii'], 'url': '//xeno-canto.org/425873', 'q': 'no score', 'time': '10:32', 'file-name': 'XC425873-ATFL_SPTO_HOFI_MOBL_2018-06-09_Geneva_OR_1032(2).mp3'}, {'date': '2018-06-09', 'loc': 'Geneva, Jefferson County, Oregon', 'birdId': 369, 'lic': '//creativecommons.org/licenses/by-nc-sa/4.0/', 'type': 'call, song', 'ssp': '', 'rec': 'Thomas Magarian', 'gen': 'Myiarchus', 'rmk': 'Recording amplified. Noise reduction. High pass filter.', 'file': 'https://xeno-canto.org/433791/download', 'playback-used': 'no', 'uploaded': '2018-09-10', 'id': '433791', 'sp': 'cinerascens', 'lat': '44.4707', 'lng': '-121.3932', 'bird-seen': 'yes', 'length': '0:28', 'cnt': 'United States', 'sono': {'small': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC433791-small.png', 'large': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC433791-large.png', 'med': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC433791-med.png', 'full': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC433791-full.png'}, 'alt': '850', 'en': 'Ash-throated Flycatcher', 'also': ['Troglodytes aedon', 'Sialia currucoides', 'Pipilo maculatus'], 'url': '//xeno-canto.org/433791', 'q': 'no score', 'time': '10:31', 'file-name': 'XC433791-ATFL_SPTO_HOWR_MOBL_2018-06-09_Geneva_OR_1031(2).mp3'}, {'date': '2020-03-30', 'loc': 'Blythe, Riverside County, California', 'birdId': 369, 'lic': '//creativecommons.org/licenses/by-nc-sa/4.0/', 'type': 'call', 'rmk': 'Pik! call', 'gen': 'Myiarchus', 'ssp': '', 'rec': 'Jarrod Swackhamer', 'file': 'https://xeno-canto.org/540021/download', 'playback-used': 'no', 'uploaded': '2020-03-31', 'id': '540021', 'sp': 'cinerascens', 'lat': '33.6753', 'lng': '-114.5352', 'bird-seen': 'no', 'length': '0:14', 'cnt': 'United States', 'sono': {'small': '//xeno-canto.org/sounds/uploaded/WUKEUEONAI/ffts/XC540021-small.png', 'large': '//xeno-canto.org/sounds/uploaded/WUKEUEONAI/ffts/XC540021-large.png', 'med': '//xeno-canto.org/sounds/uploaded/WUKEUEONAI/ffts/XC540021-med.png', 'full': '//xeno-canto.org/sounds/uploaded/WUKEUEONAI/ffts/XC540021-full.png'}, 'alt': '90', 'en': 'Ash-throated Flycatcher', 'also': [''], 'url': '//xeno-canto.org/540021', 'q': 'no score', 'file-name': 'XC540021-atflpikcalljs_pver033020.mp3', 'time': '07:30'}, {'date': '2019-04-03', 'loc': 'Picacho, Pinal County, Arizona', 'birdId': 369, 'lic': '//creativecommons.org/licenses/by-nc-sa/4.0/', 'type': 'male, song', 'rec': 'Ron Overholtz', 'rmk': 'Tascam DR-05\r\nAudacity', 'gen': 'Myiarchus', 'ssp': '', 'file': 'https://xeno-canto.org/555068/download', 'playback-used': 'no', 'uploaded': '2020-05-07', 'id': '555068', 'sp': 'cinerascens', 'lat': '32.6534', 'lng': '-111.422', 'bird-seen': 'yes', 'sono': {'small': '//xeno-canto.org/sounds/uploaded/OCGLDSUVRE/ffts/XC555068-small.png', 'large': '//xeno-canto.org/sounds/uploaded/OCGLDSUVRE/ffts/XC555068-large.png', 'med': '//xeno-canto.org/sounds/uploaded/OCGLDSUVRE/ffts/XC555068-med.png', 'full': '//xeno-canto.org/sounds/uploaded/OCGLDSUVRE/ffts/XC555068-full.png'}, 'alt': '550', 'cnt': 'United States', 'length': '0:11', 'en': 'Ash-throated Flycatcher', 'also': [''], 'url': '//xeno-canto.org/555068', 'q': 'no score', 'file-name': 'XC555068-Ash-throated Flycatcher PicachoSP, AZ 4-3-19.mp3', 'time': '07:00'}, {'date': '2020-05-20', 'loc': 'Cibola, La Paz County, Arizona', 'birdId': 369, 'lic': '//creativecommons.org/licenses/by-nc-sa/4.0/', 'type': 'adult, call, juvenile, sex uncertain', 'rmk': 'Interaction calls between and Ash-throated Flycatcher family group, four total birds, two adults and two juveniles in one small mesquite, located in the middle of a stand of bigger planted mesquite trees in a conservation area. Recording unmodified.', 'ssp': '', 'gen': 'Myiarchus', 'rec': 'Naomi', 'file': 'https://xeno-canto.org/560016/download', 'uploaded': '2020-05-20', 'playback-used': 'no', 'id': '560016', 'sp': 'cinerascens', 'lat': '33.4067', 'lng': '-114.686', 'bird-seen': 'yes', 'sono': {'small': '//xeno-canto.org/sounds/uploaded/EXBETBIAJB/ffts/XC560016-small.png', 'large': '//xeno-canto.org/sounds/uploaded/EXBETBIAJB/ffts/XC560016-large.png', 'med': '//xeno-canto.org/sounds/uploaded/EXBETBIAJB/ffts/XC560016-med.png', 'full': '//xeno-canto.org/sounds/uploaded/EXBETBIAJB/ffts/XC560016-full.png'}, 'length': '0:18', 'alt': '70', 'cnt': 'United States', 'en': 'Ash-throated Flycatcher', 'also': ['Polioptila melanura', 'Zenaida asiatica'], 'url': '//xeno-canto.org/560016', 'q': 'no score', 'time': '06:30', 'file-name': 'XC560016-ATFLinteraction.mp3'}, {'date': '2020-05-19', 'loc': 'Cibola National Wildlife Refuge (near  Cibola), La Paz County, Arizona', 'birdId': 369, 'lic': '//creativecommons.org/licenses/by-nc-sa/4.0/', 'type': 'adult, sex uncertain, song', 'gen': 'Myiarchus', 'rec': 'Naomi', 'ssp': '', 'rmk': 'Adult Ash-throated Flycatcher singing from bare branches of a dead shrub along a canal just north of a stand of young cottonwoods approx 15 ft tall in a planted conservation area. Scrubby desert habitat to the north. Recording unmodified.', 'file': 'https://xeno-canto.org/560020/download', 'uploaded': '2020-05-20', 'playback-used': 'no', 'id': '560020', 'sp': 'cinerascens', 'lat': '33.3723', 'lng': '-114.6873', 'bird-seen': 'yes', 'cnt': 'United States', 'alt': '70', 'sono': {'small': '//xeno-canto.org/sounds/uploaded/EXBETBIAJB/ffts/XC560020-small.png', 'large': '//xeno-canto.org/sounds/uploaded/EXBETBIAJB/ffts/XC560020-large.png', 'med': '//xeno-canto.org/sounds/uploaded/EXBETBIAJB/ffts/XC560020-med.png', 'full': '//xeno-canto.org/sounds/uploaded/EXBETBIAJB/ffts/XC560020-full.png'}, 'length': '0:26', 'en': 'Ash-throated Flycatcher', 'also': ['Melozone aberti'], 'url': '//xeno-canto.org/560020', 'q': 'no score', 'time': '05:30', 'file-name': 'XC560020-ATFL.mp3'}, {'date': '2021-05-05', 'loc': 'Blue Ridge Rd, Solano County, California', 'birdId': 369, 'lic': '//creativecommons.org/licenses/by-nc-sa/4.0/', 'type': 'call', 'ssp': '', 'rmk': 'Area of huge (30,000 acre) burn from previous summer, full of Laz Buntings and Ash-throated Flycatchers', 'rec': 'Ed Pandolfino', 'gen': 'Myiarchus', 'file': 'https://xeno-canto.org/646011/download', 'uploaded': '2021-05-06', 'playback-used': 'no', 'id': '646011', 'sp': 'cinerascens', 'lat': '38.4366', 'lng': '-122.1232', 'bird-seen': 'yes', 'sono': {'small': '//xeno-canto.org/sounds/uploaded/FVNPWGEQCT/ffts/XC646011-small.png', 'large': '//xeno-canto.org/sounds/uploaded/FVNPWGEQCT/ffts/XC646011-large.png', 'med': '//xeno-canto.org/sounds/uploaded/FVNPWGEQCT/ffts/XC646011-med.png', 'full': '//xeno-canto.org/sounds/uploaded/FVNPWGEQCT/ffts/XC646011-full.png'}, 'length': '0:22', 'cnt': 'United States', 'alt': '750', 'en': 'Ash-throated Flycatcher', 'also': [''], 'url': '//xeno-canto.org/646011', 'q': 'A', 'file-name': 'XC646011-ATFLc_BlueRdgRd_SOL_5-5-21_0720.mp3', 'time': '07:20'}]}]"
50,Ashy Drongo,[]
51,Ashy Prinia,[]
52,Ashy Woodswallow,[]
53,Asian Brown Flycatcher,[]
54,Asian Emerald Dove,[]
55,Asian Koel,[]
56,Asian Openbill,[]
57,Asian Palm-Swift,[]
58,Augur Buzzard,[]
59,Azara's Spinetail,[]
60,Baglafecht Weaver,[]
61,Baird's Sandpiper,"[{'images': ['https://images.unsplash.com/photo-1597246359597-0e3914478f68'], 'lengthMin': '14', 'lengthMax': '18', 'name': ""Baird's Sandpiper"", 'wingspanMin': '35', 'id': 158, 'wingspanMax': '38', 'sciName': 'Calidris bairdii', 'region': ['North America'], 'family': 'Scolopacidae', 'order': 'Charadriiformes', 'status': 'Low Concern', 'recordings': [{'date': '2014-06-29', 'loc': 'Point Barrow, Barrow, North Slope Borough, Alaska', 'birdId': 158, 'lic': '//creativecommons.org/licenses/by-nc-sa/4.0/', 'type': 'call', 'gen': 'Calidris', 'ssp': '', 'rmk': 'natural vocalization; calls in a high chase flight from three birds, one of which was the same individual as in XC185528.', 'rec': 'Andrew Spencer', 'file': 'https://xeno-canto.org/185620/download', 'uploaded': '2014-07-07', 'playback-used': 'no', 'id': '185620', 'sp': 'bairdii', 'lat': '71.3632', 'lng': '-156.5099', 'bird-seen': 'yes', 'sono': {'small': '//xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC185620-small.png', 'large': '//xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC185620-large.png', 'med': '//xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC185620-med.png', 'full': '//xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC185620-full.png'}, 'length': '0:11', 'cnt': 'United States', 'alt': '0', 'en': ""Baird's Sandpiper"", 'also': [''], 'url': '//xeno-canto.org/185620', 'q': 'A', 'time': '03:50', 'file-name': ""XC185620-Baird's Sandpiper2014-6-29-2.mp3""}, {'date': '2014-06-29', 'loc': 'Point Barrow, Barrow, North Slope Borough, Alaska', 'birdId': 158, 'lic': '//creativecommons.org/licenses/by-nc-sa/4.0/', 'type': 'call, song', 'rec': 'Andrew Spencer', 'rmk': 'natural vocalization; song and various call types during a prolonged flight display from the same bird as in XC185528, given immediately after the chase in XC185620.  A second bird is faintly audible in the background', 'gen': 'Calidris', 'ssp': '', 'file': 'https://xeno-canto.org/185621/download', 'uploaded': '2014-07-07', 'playback-used': 'no', 'id': '185621', 'sp': 'bairdii', 'lat': '71.3632', 'lng': '-156.5099', 'bird-seen': 'yes', 'cnt': 'United States', 'alt': '0', 'sono': {'small': '//xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC185621-small.png', 'large': '//xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC185621-large.png', 'med': '//xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC185621-med.png', 'full': '//xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC185621-full.png'}, 'length': '0:22', 'en': ""Baird's Sandpiper"", 'also': [''], 'url': '//xeno-canto.org/185621', 'q': 'A', 'time': '03:50', 'file-name': ""XC185621-Baird's Sandpiper2014-6-29-3.mp3""}, {'date': '2014-07-01', 'loc': 'Atigun Pass, Dalton Highway, North Slope Borough, Alaska', 'birdId': 158, 'lic': '//creativecommons.org/licenses/by-nc-sa/4.0/', 'type': 'call', 'rmk': 'calls during a broken-wing distraction display from the same bird as in XC185622, near two very young (1-2 day old) chicks.', 'rec': 'Andrew Spencer', 'ssp': '', 'gen': 'Calidris', 'file': 'https://xeno-canto.org/185624/download', 'uploaded': '2014-07-07', 'playback-used': 'no', 'id': '185624', 'sp': 'bairdii', 'lat': '68.1282', 'lng': '-149.4894', 'bird-seen': 'yes', 'length': '0:21', 'alt': '1400', 'sono': {'small': '//xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC185624-small.png', 'large': '//xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC185624-large.png', 'med': '//xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC185624-med.png', 'full': '//xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/XC185624-full.png'}, 'cnt': 'United States', 'en': ""Baird's Sandpiper"", 'also': [''], 'url': '//xeno-canto.org/185624', 'q': 'A', 'file-name': ""XC185624-Baird's Sandpiper_distraction2014-7-1-1.mp3"", 'time': '09:00'}, {'date': '2016-08-28', 'loc': 'Timnath Reservoir, Larimer County, Colorado', 'birdId': 158, 'lic': '//creativecommons.org/licenses/by-nc-sa/4.0/', 'type': 'flight call', 'gen': 'Calidris', 'ssp': '', 'rmk': 'A small flock of 3 birds flew by calling. Recording filtered for clarity.', 'rec': 'Nick Komar', 'file': 'https://xeno-canto.org/332714/download', 'uploaded': '2016-08-30', 'playback-used': 'no', 'id': '332714', 'sp': 'bairdii', 'lat': '40.5543', 'lng': '-104.951', 'bird-seen': 'yes', 'length': '0:09', 'alt': '1500', 'sono': {'small': '//xeno-canto.org/sounds/uploaded/ODAYZINCOA/ffts/XC332714-small.png', 'large': '//xeno-canto.org/sounds/uploaded/ODAYZINCOA/ffts/XC332714-large.png', 'med': '//xeno-canto.org/sounds/uploaded/ODAYZINCOA/ffts/XC332714-med.png', 'full': '//xeno-canto.org/sounds/uploaded/ODAYZINCOA/ffts/XC332714-full.png'}, 'cnt': 'United States', 'en': ""Baird's Sandpiper"", 'also': [''], 'url': '//xeno-canto.org/332714', 'q': 'B', 'time': '07:30', 'file-name': 'XC332714-COLO BASA flight call 0730 08282016 nk flt.mp3'}, {'date': '2019-08-01', 'loc': 'Twin Lakes Golf Course, Willcox, Arizona', 'birdId': 158, 'lic': '//creativecommons.org/licenses/by-nc-sa/4.0/', 'type': 'call, flight call', 'rmk': 'dozens present in spread-out feeding flock, various vocalizations', 'gen': 'Calidris', 'rec': 'Paul Marvin', 'ssp': '', 'file': 'https://xeno-canto.org/491632/download', 'uploaded': '2019-08-08', 'playback-used': 'no', 'id': '491632', 'sp': 'bairdii', 'lat': '32.233', 'lng': '-109.8269', 'bird-seen': 'yes', 'cnt': 'United States', 'alt': '1300', 'sono': {'small': '//xeno-canto.org/sounds/uploaded/RFTXRYBVBX/ffts/XC491632-small.png', 'large': '//xeno-canto.org/sounds/uploaded/RFTXRYBVBX/ffts/XC491632-large.png', 'med': '//xeno-canto.org/sounds/uploaded/RFTXRYBVBX/ffts/XC491632-med.png', 'full': '//xeno-canto.org/sounds/uploaded/RFTXRYBVBX/ffts/XC491632-full.png'}, 'length': '0:17', 'en': ""Baird's Sandpiper"", 'also': [''], 'url': '//xeno-canto.org/491632', 'q': 'B', 'file-name': ""XC491632-Baird's Sandpiper some flt, parab -AZ, Willcox, August 01, 2019, 0142 PM.mp3"", 'time': '15:42'}, {'date': '2019-08-01', 'loc': 'Twin Lakes Golf Course, Willcox, Arizona', 'birdId': 158, 'lic': '//creativecommons.org/licenses/by-nc-sa/4.0/', 'type': 'call, flight call', 'ssp': '', 'rmk': 'two flew in and one of them flew away among dozens present in spread-out feeding flock', 'gen': 'Calidris', 'rec': 'Paul Marvin', 'file': 'https://xeno-canto.org/491633/download', 'playback-used': 'no', 'uploaded': '2019-08-08', 'id': '491633', 'sp': 'bairdii', 'lat': '32.233', 'lng': '-109.8269', 'bird-seen': 'yes', 'length': '0:26', 'alt': '1300', 'sono': {'small': '//xeno-canto.org/sounds/uploaded/RFTXRYBVBX/ffts/XC491633-small.png', 'large': '//xeno-canto.org/sounds/uploaded/RFTXRYBVBX/ffts/XC491633-large.png', 'med': '//xeno-canto.org/sounds/uploaded/RFTXRYBVBX/ffts/XC491633-med.png', 'full': '//xeno-canto.org/sounds/uploaded/RFTXRYBVBX/ffts/XC491633-full.png'}, 'cnt': 'United States', 'en': ""Baird's Sandpiper"", 'also': [''], 'url': '//xeno-canto.org/491633', 'q': 'B', 'time': '15:40', 'file-name': ""XC491633-Baird's Sandpiper 2 flt in, 1 flt out, parab -AZ, Willcox, August 01, 2019, 0140 PM.mp3""}, {'date': '2019-08-01', 'loc': 'Twin Lakes Golf Course, Willcox, Arizona', 'birdId': 158, 'lic': '//creativecommons.org/licenses/by-nc-sa/4.0/', 'type': 'flight call', 'ssp': '', 'gen': 'Calidris', 'rec': 'Paul Marvin', 'rmk': 'bird in flight among many more in background', 'file': 'https://xeno-canto.org/491634/download', 'uploaded': '2019-08-08', 'playback-used': 'no', 'id': '491634', 'sp': 'bairdii', 'lat': '32.233', 'lng': '-109.8269', 'bird-seen': 'yes', 'alt': '1300', 'cnt': 'United States', 'length': '0:07', 'sono': {'small': '//xeno-canto.org/sounds/uploaded/RFTXRYBVBX/ffts/XC491634-small.png', 'large': '//xeno-canto.org/sounds/uploaded/RFTXRYBVBX/ffts/XC491634-large.png', 'med': '//xeno-canto.org/sounds/uploaded/RFTXRYBVBX/ffts/XC491634-med.png', 'full': '//xeno-canto.org/sounds/uploaded/RFTXRYBVBX/ffts/XC491634-full.png'}, 'en': ""Baird's Sandpiper"", 'also': [''], 'url': '//xeno-canto.org/491634', 'q': 'B', 'file-name': ""XC491634-Baird's Sandpiper flt parab -AZ, Willcox, August 01, 2019, 0449 PM.mp3"", 'time': '16:49'}, {'date': '2019-08-01', 'loc': 'Twin Lakes Golf Course, Willcox, Arizona', 'birdId': 158, 'lic': '//creativecommons.org/licenses/by-nc-sa/4.0/', 'type': 'flight call', 'rec': 'Paul Marvin', 'rmk': 'pair in flight', 'ssp': '', 'gen': 'Calidris', 'file': 'https://xeno-canto.org/491635/download', 'playback-used': 'no', 'uploaded': '2019-08-08', 'id': '491635', 'sp': 'bairdii', 'lat': '32.233', 'lng': '-109.8269', 'bird-seen': 'yes', 'length': '0:23', 'cnt': 'United States', 'alt': '1300', 'sono': {'small': '//xeno-canto.org/sounds/uploaded/RFTXRYBVBX/ffts/XC491635-small.png', 'large': '//xeno-canto.org/sounds/uploaded/RFTXRYBVBX/ffts/XC491635-large.png', 'med': '//xeno-canto.org/sounds/uploaded/RFTXRYBVBX/ffts/XC491635-med.png', 'full': '//xeno-canto.org/sounds/uploaded/RFTXRYBVBX/ffts/XC491635-full.png'}, 'en': ""Baird's Sandpiper"", 'also': ['Lanius ludovicianus'], 'url': '//xeno-canto.org/491635', 'q': 'B', 'file-name': ""XC491635-Baird's Sandpiper pair in flt, parab -AZ, Willcox, August 01, 2019, 0134 PM.mp3"", 'time': '13:34'}, {'date': '2019-08-31', 'loc': 'Smith Bybee Wetlands, North Portland, Multnomah County, Oregon', 'birdId': 158, 'lic': '//creativecommons.org/licenses/by-nc-sa/4.0/', 'type': 'call', 'ssp': '', 'gen': 'Calidris', 'rec': 'Thomas Magarian', 'rmk': '', 'file': 'https://xeno-canto.org/544958/download', 'uploaded': '2020-04-12', 'playback-used': 'no', 'id': '544958', 'sp': 'bairdii', 'lat': '45.6123', 'lng': '-122.7352', 'bird-seen': 'yes', 'sono': {'small': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC544958-small.png', 'large': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC544958-large.png', 'med': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC544958-med.png', 'full': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC544958-full.png'}, 'alt': '0', 'cnt': 'United States', 'length': '0:06', 'en': ""Baird's Sandpiper"", 'also': ['Tringa melanoleuca', 'Spinus tristis'], 'url': '//xeno-canto.org/544958', 'q': 'no score', 'time': '13:04', 'file-name': 'XC544958-BASA_GRYE_AMGO_2019-08-31_Smith_Bybee_Wetlands_North_Portland_OR_1304.mp3'}, {'date': '2021-05-15', 'loc': 'Atigun River 2 bridge area', 'birdId': 158, 'lic': '//creativecommons.org/licenses/by-nc-sa/4.0/', 'type': 'adult, call, sex uncertain', 'rec': 'Seth Beaudreault', 'ssp': '', 'rmk': '', 'gen': 'Calidris', 'file': 'https://xeno-canto.org/680388/download', 'playback-used': 'unknown', 'uploaded': '2021-10-14', 'id': '680388', 'sp': 'bairdii', 'lat': '68.4517', 'lng': '-149.3768', 'bird-seen': 'unknown', 'length': '0:05', 'alt': '800', 'sono': {'small': '//xeno-canto.org/sounds/uploaded/TZWMNBTMOK/ffts/XC680388-small.png', 'large': '//xeno-canto.org/sounds/uploaded/TZWMNBTMOK/ffts/XC680388-large.png', 'med': '//xeno-canto.org/sounds/uploaded/TZWMNBTMOK/ffts/XC680388-med.png', 'full': '//xeno-canto.org/sounds/uploaded/TZWMNBTMOK/ffts/XC680388-full.png'}, 'cnt': 'United States', 'en': ""Baird's Sandpiper"", 'also': [''], 'url': '//xeno-canto.org/680388', 'q': 'B', 'time': '10:10', 'file-name': 'XC680388-20210515BASA01.mp3'}]}]"
62,Bald Eagle,"[{'images': ['https://images.unsplash.com/photo-1557401620-67270b61ea82', 'https://images.unsplash.com/photo-1628703275211-675419b0b995'], 'lengthMin': '71', 'lengthMax': '96', 'name': 'Bald Eagle', 'id': 282, 'sciName': 'Haliaeetus leucocephalus', 'region': ['North America'], 'family': 'Accipitridae', 'order': 'Accipitriformes', 'status': 'Low Concern'}]"
63,Baltimore Oriole,"[{'images': ['https://images.unsplash.com/photo-1645563146739-b4ee076c5dcc', 'https://images.unsplash.com/photo-1618083832398-6b0be43becac', 'https://images.unsplash.com/photo-1663099926889-5f385398a150'], 'lengthMin': '17', 'lengthMax': '19', 'name': 'Baltimore Oriole', 'wingspanMin': '23', 'id': 562, 'wingspanMax': '30', 'sciName': 'Icterus galbula', 'region': ['North America'], 'family': 'Icteridae', 'order': 'Passeriformes', 'status': 'Low Concern'}]"
64,Bananaquit,[]
65,Banded Wren,[]
66,Band-rumped Storm-Petrel,[]
67,Band-tailed Pigeon,[]
68,Bank Swallow / Sand Martin,[]
69,Barn Owl,"[{'images': ['https://images.unsplash.com/photo-1600892457290-84afbce878f0', 'https://images.unsplash.com/photo-1604605152447-1fcea1a333f3'], 'lengthMin': '32', 'lengthMax': '40', 'name': 'Barn Owl', 'wingspanMin': '100', 'id': 295, 'wingspanMax': '125', 'sciName': 'Tyto alba', 'region': ['North America'], 'family': 'Tytonidae', 'order': 'Strigiformes', 'status': 'Low Concern'}]"
70,Barn Swallow,"[{'images': ['https://images.unsplash.com/photo-1639675624162-04158684ce48', 'https://images.unsplash.com/photo-1655831064940-aacadf0b302a', 'https://images.unsplash.com/photo-1622841557904-a884c56ee6f6'], 'lengthMin': '15', 'lengthMax': '19', 'name': 'Barn Swallow', 'wingspanMin': '29', 'id': 428, 'wingspanMax': '32', 'sciName': 'Hirundo rustica', 'region': ['North America', 'Western Europe'], 'family': 'Hirundinidae', 'order': 'Passeriformes', 'status': 'Low Concern'}]"
71,Barred Antshrike,[]
